State,Longitude,Latitude,EV DC Fast Count
VA,-82.14891,36.62855,8.0
VA,-82.127622,36.635755,4.0
VA,-76.224462,36.657929,8.0
VA,-78.90085,36.68661,8.0
VA,-77.546094,36.706838,4.0
VA,-78.103517,36.748516,6.0
VA,-76.248342,36.753547,1.0
VA,-76.2271409,36.780709,2.0
VA,-76.236776,36.781444,1.0
VA,-76.102433,36.838989,1.0
VA,-76.05528,36.84068,8.0
VA,-76.077243,36.842819,1.0
VA,-76.2863680457534,36.8479536382711,1.0
VA,-76.155655,36.84874,1.0
VA,-76.02406,36.84988,2.0
VA,-76.285958,36.852443,1.0
VA,-76.207467,36.860525,6.0
VA,-76.209297,36.860592,2.0
VA,-76.41758,36.864845,1.0
VA,-76.2106,36.86564,2.0
VA,-76.2953059,36.8705577,2.0
VA,-76.22651,36.89738,8.0
VA,-81.054651,36.945693,6.0
VA,-81.095263,36.959626,4.0
VA,-76.388316,37.042363,1.0
VA,-76.3919917,37.0480173,4.0
VA,-76.4600358,37.0813481,2.0
VA,-76.497198,37.114465,12.0
VA,-76.507418,37.119593,10.0
VA,-76.513077,37.122246,1.0
VA,-76.51305,37.122263,1.0
VA,-80.426151,37.165292,2.0
VA,-77.366349,37.190626,8.0
VA,-80.40111,37.21468,4.0
VA,-80.007721,37.233702,4.0
VA,-76.676871,37.266316,8.0
VA,-78.401649,37.271757,8.0
VA,-79.938925,37.272567,1.0
VA,-80.079404,37.289541,8.0
VA,-77.392372,37.304917,1.0
VA,-80.0032855,37.3162173,4.0
VA,-79.190621,37.324741,8.0
VA,-76.752869,37.33972,1.0
VA,-79.962578,37.345779,1.0
VA,-79.19088,37.34578,2.0
VA,-77.414228,37.355577,1.0
VA,-77.416961,37.367264,8.0
VA,-77.626797,37.427728,1.0
VA,-79.837784,37.455441,4.0
VA,-79.117738,37.466222,8.0
VA,-77.027031,37.490299,1.0
VA,-77.61949,37.50418,1.0
VA,-77.591372,37.506305,1.0
VA,-75.831544,37.516011,4.0
VA,-77.353906,37.52979,20.0
VA,-77.4847137148966,37.5552704937144,3.0
VA,-77.486842,37.5564429,4.0
VA,-77.49929,37.58226,4.0
VA,-77.533397,37.59074,2.0
VA,-77.4546541,37.603623,2.0
VA,-77.335825,37.613165,1.0
VA,-77.458141,37.632221,8.0
