Name,Highway,Exit,City,State,Street_Address,ZIP,full_address,latitude,longitude
7 ELEVEN,I-81,240,MOUNT CRAWFORD,VA,6260 WALTON WAY,22841,"6260 WALTON WAY,MOUNT CRAWFORD,VA,22841",,
CIRCLE K,I-81,50,ATKINS,VA,5522 LEE HWY,24311,"5522 LEE HWY,ATKINS,VA,24311",36.86490114966612,-81.43353458165473
CIRCLE K,I-81,84,MAX MEADOWS,VA,152 MAJOR GRAHAMS RD,24360,"152 MAJOR GRAHAMS RD,MAX MEADOWS,VA,24360",,
CIRCLE K,I-77/81,80,FORT CHISWELL,VA,2622 E LEE HWY,24382,"2622 E LEE HWY,FORT CHISWELL,VA,24382",36.94685494509036,-80.9492620081156
CIRCLE K,I-64/81,217,STAUNTON,VA,313 SPRINGFIELD LANE,24401,"313 SPRINGFIELD LANE,STAUNTON,VA,24401",,
CIRCLE K,I-81,150-A,TROUTVILLE,VA,2765 LEE HWY,24175,"2765 LEE HWY,TROUTVILLE,VA,24175",37.4052559,-79.8888519
CIRCLE K,I-77/81,77,WYTHEVILLE,VA,117 READY MIX RD,24382,"117 READY MIX RD,WYTHEVILLE,VA,24382",36.935949,-80.994899
EXIT 10 QUICK STOP,I-81,10,BRISTOL,VA,15324 LEE HWY,24202,"15324 LEE HWY,BRISTOL,VA,24202",36.6280957,-82.1507704
FLYING J TRAVEL CENTER #750,I-81/77,80,FORT CHISWELL,VA,139 FACTORY OUTLET DR,24360,"139 FACTORY OUTLET DR,FORT CHISWELL,VA,24360",,
FLYING J TRAVEL CENTER #752,I-81,323,WINCHESTER,VA,1530 REST CHURCH RD,22642,"1530 REST CHURCH RD,WINCHESTER,VA,22642",,
FLYING J TRAVEL CENTER #754,I-77/81,77,WYTHEVILLE,VA,3249 CHAPMAN RD,24382,"3249 CHAPMAN RD,WYTHEVILLE,VA,24382",36.94694,-81.057638
GO MART,I-81,235,WEYERS CAVE,VA,3373 LEE HWY,24486,"3373 LEE HWY,WEYERS CAVE,VA,24486",38.2895536,-78.9347266
HARRISONBURG TRAVEL CENTER,I-81,243,HARRISONBURG,VA,3355 S MAIN ST,22801,"3355 S MAIN ST,HARRISONBURG,VA,22801",38.40347867570614,-78.91055457255337
HIGH POINT TRUCK STOP,I-81,310,STEPHENS CITY,VA,5116 MAIN ST,22655,"5116 MAIN ST,STEPHENS CITY,VA,22655",39.089384,-78.21249545454546
I-81 TRAVEL PLAZA,I-81,86,MAX MEADOWS,VA,5722 E LEE HWY,24360,"5722 E LEE HWY,MAX MEADOWS,VA,24360",,
LIBERTY TRUCK CENTER,I-81,273,MOUNT JACKSON,VA,218 CONICVILLE RD,22842,"218 CONICVILLE RD,MOUNT JACKSON,VA,22842",,
LOVE'S TRAVEL STOP #239,I-81,84,MAX MEADOWS,VA,145 MAJOR GRAHAMS RD,24360,"145 MAJOR GRAHAMS RD,MAX MEADOWS,VA,24360",,
LOVE'S TRAVEL STOP #305,I-81,291,TOMS BROOK,VA,1015 MT OLIVE RD,22660,"1015 MT OLIVE RD,TOMS BROOK,VA,22660",,
LOVE'S TRAVEL STOP #613,I-81,24,MEADOWVIEW,VA,13365 GLENBROOK AVE,13365,"13365 GLENBROOK AVE,MEADOWVIEW,VA,13365",36.75591569242676,-81.85728825476923
NISHI FOOD MART #2,I-81,118-C,CHRISTIANSBURG,VA,2655 ROANOKE ST,24073,"2655 ROANOKE ST,CHRISTIANSBURG,VA,24073",37.137978753942406,-80.35241747465128
OLDE STONE TRUCKSTOP,I-81,321,CLEAR BROOK,VA,3425 MARTINSBURG PIKE,22624,"3425 MARTINSBURG PIKE,CLEAR BROOK,VA,22624",39.261067,-78.094157
