Name,Highway,Exit,City,State,Street_Address,ZIP,full_address,latitude,longitude
CIRCLE K,I-81,50,ATKINS,VA,5522 LEE HWY,24311,"5522 LEE HWY,ATKINS,VA,24311",36.86490114966612,-81.43353458165473
CIRCLE K,I-81,150-A,TROUTVILLE,VA,2765 LEE HWY,24175,"2765 LEE HWY,TROUTVILLE,VA,24175",37.4052559,-79.8888519
EXIT 10 QUICK STOP,I-81,10,BRISTOL,VA,15324 LEE HWY,24202,"15324 LEE HWY,BRISTOL,VA,24202",36.6280957,-82.1507704
GO MART,I-81,235,WEYERS CAVE,VA,3373 LEE HWY,24486,"3373 LEE HWY,WEYERS CAVE,VA,24486",38.2895536,-78.9347266
HARRISONBURG TRAVEL CENTER,I-81,243,HARRISONBURG,VA,3355 S MAIN ST,22801,"3355 S MAIN ST,HARRISONBURG,VA,22801",38.40347867570614,-78.91055457255337
HIGH POINT TRUCK STOP,I-81,310,STEPHENS CITY,VA,5116 MAIN ST,22655,"5116 MAIN ST,STEPHENS CITY,VA,22655",39.089384,-78.21249545454546
LOVE'S TRAVEL STOP #613,I-81,24,MEADOWVIEW,VA,13365 GLENBROOK AVE,13365,"13365 GLENBROOK AVE,MEADOWVIEW,VA,13365",36.75591569242676,-81.85728825476923
NISHI FOOD MART #2,I-81,118-C,CHRISTIANSBURG,VA,2655 ROANOKE ST,24073,"2655 ROANOKE ST,CHRISTIANSBURG,VA,24073",37.137978753942406,-80.35241747465128
OLDE STONE TRUCKSTOP,I-81,321,CLEAR BROOK,VA,3425 MARTINSBURG PIKE,22624,"3425 MARTINSBURG PIKE,CLEAR BROOK,VA,22624",39.261067,-78.094157
PETRO STOPPING CENTER #372,I-81,29,GLADE SPRING,VA,12433 MAPLE ST,24340,"12433 MAPLE ST,GLADE SPRING,VA,24340",36.77116405882353,-81.78085205882353
RADFORD TRAVEL CENTER,I-81,109,CHRISTIANSBURG,VA,2395 TYLER RD,24073,"2395 TYLER RD,CHRISTIANSBURG,VA,24073",37.0996854,-80.5122538
VILLAGE TRUCK STOP,I-81,54,ATKINS,VA,7297 LEE HWY,24368,"7297 LEE HWY,ATKINS,VA,24368",36.868774,-81.413202
