Name,Highway,Exit,City,State,Street_Address,ZIP,full_address,latitude,longitude
CIRCLE K,I-81,50,ATKINS,VA,5522 LEE HWY,24311,"5522 LEE HWY,ATKINS,VA,24311",36.86490115,-81.43353458
CIRCLE K,I-81,84,MAX MEADOWS,VA,152 MAJOR GRAHAMS RD,24360,"152 MAJOR GRAHAMS RD,MAX MEADOWS,VA,24360",36.95151,-80.88301
CIRCLE K,I-77/81,80,FORT CHISWELL,VA,2622 E LEE HWY,24382,"2622 E LEE HWY,FORT CHISWELL,VA,24382",36.94685495,-80.94926201
CIRCLE K,I-81,150-A,TROUTVILLE,VA,2765 LEE HWY,24175,"2765 LEE HWY,TROUTVILLE,VA,24175",37.4052559,-79.8888519
CIRCLE K,I-77/81,77,WYTHEVILLE,VA,117 READY MIX RD,24382,"117 READY MIX RD,WYTHEVILLE,VA,24382",36.935949,-80.994899
EXIT 10 QUICK STOP,I-81,10,BRISTOL,VA,15324 LEE HWY,24202,"15324 LEE HWY,BRISTOL,VA,24202",36.6280957,-82.1507704
FLYING J TRAVEL CENTER #750,I-81/77,80,FORT CHISWELL,VA,139 FACTORY OUTLET DR,24360,"139 FACTORY OUTLET DR,FORT CHISWELL,VA,24360",36.94499,-80.94615
FLYING J TRAVEL CENTER #754,I-77/81,77,WYTHEVILLE,VA,3249 CHAPMAN RD,24382,"3249 CHAPMAN RD,WYTHEVILLE,VA,24382",36.94694,-81.057638
HIGH POINT TRUCK STOP,I-81,310,STEPHENS CITY,VA,5116 MAIN ST,22655,"5116 MAIN ST,STEPHENS CITY,VA,22655",39.089384,-78.21249545
I-81 TRAVEL PLAZA,I-81,86,MAX MEADOWS,VA,5722 E LEE HWY,24360,"5722 E LEE HWY,MAX MEADOWS,VA,24360",36.96585,-80.85341
LOVE'S TRAVEL STOP #239,I-81,84,MAX MEADOWS,VA,145 MAJOR GRAHAMS RD,24360,"145 MAJOR GRAHAMS RD,MAX MEADOWS,VA,24360",36.95141,-80.8831
LOVE'S TRAVEL STOP #613,I-81,24,MEADOWVIEW,VA,13365 GLENBROOK AVE,13365,"13365 GLENBROOK AVE,MEADOWVIEW,VA,13365",36.75591569,-81.85728825
NISHI FOOD MART #2,I-81,118-C,CHRISTIANSBURG,VA,2655 ROANOKE ST,24073,"2655 ROANOKE ST,CHRISTIANSBURG,VA,24073",37.13797875,-80.35241747
PETRO STOPPING CENTER #372,I-81,29,GLADE SPRING,VA,12433 MAPLE ST,24340,"12433 MAPLE ST,GLADE SPRING,VA,24340",36.77116406,-81.78085206
PETRO STOPPING CENTER #396 - WHITE'S,I-64/81,205,RAPHINE,VA,2440 RAPHINE RD,24472,"2440 RAPHINE RD,RAPHINE,VA,24472",37.9304638,-79.22314857
PILOT TRAVEL CENTER #258,I-81,150-A / 150-B,TROUTVILLE,VA,2966 LEE HWY S,24175,"2966 LEE HWY S,TROUTVILLE,VA,24175",37.38882,-79.90077
PILOT TRAVEL CENTER #4619,I-77/81,77,WYTHEVILLE,VA,1318 E LEE HWY,24382,"1318 E LEE HWY,WYTHEVILLE,VA,24382",36.947224,-81.092599
PILOT TRAVEL CENTER #4649,I-81/64,205,RAPHINE,VA,713 OAKLAND CIRCLE,24472,"713 OAKLAND CIRCLE,RAPHINE,VA,24472",37.93130465,-79.23165449
RADFORD TRAVEL CENTER,I-81,109,CHRISTIANSBURG,VA,2395 TYLER RD,24073,"2395 TYLER RD,CHRISTIANSBURG,VA,24073",37.0996854,-80.5122538
SMILEY'S TRAVE CENTER,I-64/81,205,RAPHINE,VA,2489 RAPHINE RD,24472,"2489 RAPHINE RD,RAPHINE,VA,24472",37.93114246,-79.21907008
STOP IN FOOD STORE,I-81,101,DUBLIN,VA,150 STATE PARK RD,24084,"150 STATE PARK RD,DUBLIN,VA,24084",37.07685,-80.63387
STOP IN FOOD STORE,I-81,128,ELLISTON,VA,5151 N FORK RD,24087,"5151 N FORK RD,ELLISTON,VA,24087",37.23142,-80.25678
VILLAGE TRUCK STOP,I-81,54,ATKINS,VA,7297 LEE HWY,24368,"7297 LEE HWY,ATKINS,VA,24368",36.868774,-81.413202
