Name,Highway,Exit,City,State
360 TRUCK STOP,US 360,,AMELIA,VA
7 ELEVEN,I-464,2,CHESAPEAKE,VA
7 ELEVEN,I-66,6,FRONT ROYAL,VA
7 ELEVEN,US 301,,KING GEORGE,VA
7 ELEVEN,I-81,240,MOUNT CRAWFORD,VA
96 FUEL STOP,I-95,126-B NB/126 SB,FREDERICKSBURG,VA
A PLUS,I-64,220,LANEXA,VA
APPLE MARKET (BP),US 29,,AMHERST,VA
BBQ COUNTRY,US 15/29,,WARRENTON,VA
BIG CHARLIE'S TRUCK PLAZA,I-64,282,VIRGINIA BEACH,VA
BLACK DIAMOND,US 19,VA 80,ROSEDALE,VA
CAPE CENTER,US 13,,CAPE CHARLES,VA
CIRCLE K,US 29,,BLAIRS,VA
CIRCLE K,US 220,,MARTINSVILLE,VA
CIRCLE K,I-81,50,ATKINS,VA
CIRCLE K,I-77,24,AUSTINVILLE,VA
CIRCLE K,I-77,52,BLAND,VA
CIRCLE K,I-81,84,MAX MEADOWS,VA
CIRCLE K,I-77/81,80,FORT CHISWELL,VA
CIRCLE K,I-64/81,217,STAUNTON,VA
CIRCLE K,I-81,150-A,TROUTVILLE,VA
CIRCLE K,I-77,41,WYTHEVILLE,VA
CIRCLE K,I-77/81,77,WYTHEVILLE,VA
COCKERHAM FUEL CENTER,I-77,14,HILLSVILLE,VA
CORNER MART,US 460,,RICHLANDS,VA
CROSSING POINT,I-64,136,GORDONSVILLE,VA
CROSSROADS EXPRESS MARKET,US 60,,GLADSTONE,VA
DANIEL BOONE TRAVEL CENTER,US 23,,DUFFIELD,VA
DAVIS TRAVEL CENTER,I-95,33,STONY CREEK,VA
DAVIS TRAVEL CENTER 108,I-85,39,WARFIELD,VA
DISPUTANTA C-STORE,US 460,,DISPUTANTA,VA
DOSWELL TRUCK STOP,I-95,98,DOSWELL,VA
DUCK THRU FOOD STORE,US 258,,FRANKLIN,VA
DUDLEY'S TRUCK STOP,US 220,,ROCKY MOUNT,VA
EXIT 10 QUICK STOP,I-81,10,BRISTOL,VA
EXPRESS LANE,US 29,,MADISON HEIGHTS,VA
EXPRESS LANE,US 460,,APPOMATTOX,VA
EXPRESS LANE #2,US 460,,FOREST,VA
FAIRFIELD EXXON,I-64,200,FAIRFIELD,VA
FAS MART # 33,US 360,,KING WILLIAM,VA
FAS MART #114,BUS 29,,DANVILLE,VA
FAS MART #115,VA 86,,DANVILLE,VA
